VLC;Jarak;Risk
0.07;134;Bahaya
0.27;155;Bahaya
0.18;157;Bahaya
0.21;155;Bahaya
0.16;157;Bahaya
0.88;156;Bahaya
0.89;155;Bahaya
0.91;154;Bahaya
0.16;157;Bahaya
0.28;156;Bahaya
0.78;154;Bahaya
0.2;154;Bahaya
0.19;154;Bahaya
0.19;146;Bahaya
0.5;192;Bahaya
0.19;151;Bahaya
0.21;160;Bahaya
0.46;142;Bahaya
0.27;145;Bahaya
0.5;199;Bahaya
0.28;173;Bahaya
0.92;174;Bahaya
0.27;154;Bahaya
0.27;157;Bahaya
0.19;156;Bahaya
0.27;154;Bahaya
0.2;154;Bahaya
0.19;165;Bahaya
0.27;175;Bahaya
0.23;155;Bahaya
0.19;157;Bahaya
0.1;155;Bahaya
0.19;157;Bahaya
0.16;156;Bahaya
0.26;155;Bahaya
0.2;154;Bahaya
0.2;157;Bahaya
0.22;156;Bahaya
0.23;154;Bahaya
0.63;154;Bahaya
0.27;154;Bahaya
0.2;146;Bahaya
0.21;198;Bahaya
0.26;199;Bahaya
0.27;173;Bahaya
0.21;174;Bahaya
0.64;157;Bahaya
0.74;156;Bahaya
0.5;155;Bahaya
0.2;154;Bahaya
0.2;157;Bahaya
0.2;166;Bahaya
0.19;164;Bahaya
0.2;168;Bahaya
0.26;137;Bahaya
0.19;151;Bahaya
0.19;160;Bahaya
0.2;159;Bahaya
0.2;155;Bahaya
0.16;154;Bahaya
0.2;156;Bahaya
0.21;155;Bahaya
0.4;155;Bahaya
0.25;167;Bahaya
0.23;173;Bahaya
0.2;178;Bahaya
0.3;141;Bahaya
0.2;171;Bahaya
0.19;175;Bahaya
0.21;180;Bahaya
0.26;154;Bahaya
0.21;154;Bahaya
0.22;165;Bahaya
0.19;175;Bahaya
0.22;155;Bahaya
0.2;157;Bahaya
0.2;155;Bahaya
0.19;157;Bahaya
0.5;156;Bahaya
0.5;155;Bahaya
0.2;157;Bahaya
0.19;156;Bahaya
0.2;154;Bahaya
0.19;154;Bahaya
0.3;154;Bahaya
0.19;146;Bahaya
0.2;192;Bahaya
